"user_id","status_id","created_at","screen_name","text","description"
"x4069949114","x1412090617304256515",2021-07-05 16:46:53,"syberlynx","Deadlier than Delta: Lambda strain detected in over 30 countries, says Health Ministry
https://t.co/g8siRmP6ft  https://t.co/g8siRmP6ft","💙🇺🇸 Independent 🤔 MBC patient’s husband USAFA cadet’s papa Anesthesiologist Secular science geek Justice & Healthcare for ALL! 🗽⚽️ #COYS"
"x1067519927400259585","x1277634195972599809",2020-06-29 16:05:04,"bluebrain13","So now Herr Führer complains about not having 100% approval rating - unlike other totalitarian leaders. https://t.co/Faj4JORdqg","Independent & honest brainiac. Always up for a respectful discussion. Resisting Tя☭mp not due to different opinions but fundamental human values."
"x826175179105636355","x1354571974484357124",2021-01-27 23:28:20,"Oswald1066","@amvetsupport The Republican Party is done. It’s Republican in name only. If the storming of the Capitol didn’t change them nothing will. Trump has a death grip over the grassroots of the Republican Party and this election did not change a thing.","🇺🇸 U S Army! Independent, Anti-Tя☭mp! Biological Science @audubonsociety, Dogs Rule, Educator, Orthodox, Pittsburgh Steelers!"
"x13639572","x1346933195003097089",2021-01-06 21:34:33,"crankypants_uk","These people are terrorists. 

They are engaged in terrorism, presently. 

They stormed the US Capitol with the intent to commit politically motivated terroristic acts.

They hid at least one bomb on the grounds.

They are terrorists, and their leader is Donald Trump.","Independent meeting planner/vagabond. Ginger, book nerd & music lover. #BlackLivesMatter #AbolishthePolice #MutualAid #SolidarityNotCharity"
"x573755410","x1389271889550450697",2021-05-03 17:33:24,"carcarsofeli","This is an interesting tweet from a close confidante of Giuliani, who the former president had not wanted to pay. https://t.co/Yjfm1L1NR0","From New England. I play soccer. I’m an independent voter."
"x1252762712","x1389329091979976704",2021-05-03 21:20:42,"environguy","@mohavecounty I was in bullhead a year ago now, 25 positive cases at the time. Now it's blown up","Independent, old school, all people loving,  old man"
"x215064057","x1403385155285291013",2021-06-11 16:14:29,"JessicaOutLoud","@_P1VOT @Richcomputerguy @Baligubadle1 Maybe the god of the Bible created Adam and Eve and other Gods created the rest. Just saying. Since many claim we shouldn’t take the Bible literally then anything could be a possibility.","INDEPENDENT VOTER, From Baytown, TX 🌊 I am pro-Quality of life and pro-choice."
"x1096791114","x1388648503811969036",2021-05-02 00:16:17,"ishsregor","@AlexaNielsen6 @hazydav Yeah, not much. We have too many ego maniacs already.","Independent, Moderate Progressive. At 78, opportunities ahead. lived in Texas mostly, now in Arkansas. Beautiful AR river valley country! I don’t do DMs."
"x397003775","x1335351082445201408",2020-12-05 22:31:22,"Stevemissions","The government can’t tell you to close your business without providing financial assistance. To do so is a death wish for many families and it’s as simple as that. 

It has nothing to do with not taking the virus seriously, but instead fighting for survival on another front.","Evangelist to Brazil , Evangelista na Brasil desde 2006! Since 2006. I served as an Independent Baptist Missionary to Tijuana, Mexico for 10 years."
"x803751543186915328","x1391203393054466049",2021-05-09 01:28:30,"lesjoel123","@Mike_71STL @Super70sSports Had a used one after college-drove it into the ground!","Registered Independent, proud husband, proud first generation American. May you live in Interesting Times!"
"x948253948959375360","x1349086983943909376",2021-01-12 20:12:56,"DHLaFong","PBS top lawyer says gov should build 'enlightenment camps' and remove children from Trump supporting homes @Project_Veritas

Beller needs to be fired by PBS. My daughter watches PBS and she won't be anymore. This is absolutely intolerable. 

https://t.co/q3QCTgREPv","Independent man, love my country, father of two, guitarist and vocalist, hard rock, blues, on and on,,,not giving up on being youthful, at least in thought!"
"x754199724601769985","x1404626553649127430",2021-06-15 02:27:21,"leorabbit49","It is really difficult to live better than the rich people on a low salary. You have to manage your money really well.","I am the only person who will ever have a really good life or afterlife. I am the last man on Earth and the first man in Heaven. I am a moderate Independent."
"x336310812","x1411432024842379266",2021-07-03 21:09:52,"TXCobrak","@alisonphipps A word salad of leftist fascist lunacy.","Just an old Conservative Independent hoping for a bright future of freedom and opportunity for all."
"x269747678","x1323609122743439360",2020-11-03 12:53:00,"ccamp445","MICHIGAN!! If you haven't voted yet, get out and vote for #BidenHarris.  My beloved son, Patrick McNamee, can't vote because he died of Covid. Vote in honor of him. https://t.co/y69wspCsjr","Hard blue colar worker. Navy vet. Believe all should be treated equally. Was an independent but now active Democrat. #resist"
"x803611469589913601","x1364968289080860674",2021-02-25 15:59:34,"Edward_Pernotto","@JimHansonDC hey @LarryOConnor Don't know if you know the awesome Uncle Jimbo, great American and Special Forces soldier, perhaps you can help or at least interview him for a segment","Author and Independent Consultant specializing in military history, national security, and innovation."
"x78475324","x1412607995209523200",2021-07-07 03:02:45,"windkbba","@MountainFiain @KristiNoem If you saw a Native American doing a rain dance, which is dancing &amp; praying to their god, would you tell them to stop? Science will take care of them?","Husband, dad, Pro-Life Christian, Independent Constitutionalist. If SamAdams & AdamSmith were alive they’d follow me & drink Straub Beer together #TeaParty2"
"x1090641443453059072","x1329133920261115907",2020-11-18 18:46:35,"christi76540971","💯 https://t.co/7hWlSuK26W","🇺🇸Proud Patriot, Mom, Nana and wife. Independent, creative thinker. Laugh to Live!🇺🇸"
"x3156558773","x1349911107440431104",2021-01-15 02:47:42,"OGNoFuxGiven","@waynetaculus @AP It’s the same thing as if a person goes into a store without clothes on and they kick them out. You’d laugh at that person on the news. Not say a private company can’t let a naked person walk around causing mass disruption and a degradation of values. Right?","Independent 1st Gen Texan. Science proves MY faith. 45* is illegitimate #FactsMatter #TheResistance #FormerGOP #ProudGunOwner #TurnTexasBlue"
"x2742788775","x1381389770799075328",2021-04-11 23:32:40,"ScottWoodwardNH","I love this photo that my friend Kim snapped of one of the dogs at #Vermont Barks and Recreation in Monkton! https://t.co/CpbH5JTW7x","IT Consultant | Dog Rescue | Nature & Wildlife | VLS & UNH Alum | U.S. Army Veteran  | Independent Voter | “If you travel far enough, you will meet yourself.”"
"x481297034","x1413904561950052378",2021-07-10 16:54:51,"MamasGeeky","A HUGE thank you to @oswegocomicshop for hosting the Oswego Red Carpet premiere of Black Widow last night! What a BLAST!

I put together some clips of red carpet arrivals &amp; of course -- audience reactions! Check it out: https://t.co/ICezpSzSVs

#BlackWidow #TheComicShopSeesAMovie https://t.co/nNOUg8eJ86","Film & TV Critic @rottentomatoes • @HCACritics @filmindependent @GWNYFilmCritics Member • Bylines @ScreenRant @disneyplusnews @mamasgeeky • Tessa@mamasgeeky.com"
"x2789673465","x1387865499539673088",2021-04-29 20:24:55,"dbunk55","@DonaldJTrumpJr and your opinion is relevant, how?","Independent Audio Professional always looking for clients. Archivist. Guncle"
"x1264540131077369858","x1356427610948055041",2021-02-02 02:21:58,"cabresister","Lest we not forget that public hangings were once sport for many hundreds of years or we are doomed to repeat these mistakes.","#voteblue #Biden2020.  #FBR #FuckTrump Hardworking, independent, nasty woman.🏳️‍🌈🇱🇷💯🧢🌊🌊🤦"
"x392273379","x1387167023306874880",2021-04-27 22:09:25,"lisapr1113","@RadioFreeTom Going to Rite-Aid tomorrow to get jabbed. Been postponed 3x since March because of a damn cold!!!","#Independent  #NeverTrumper #Resistance2016 #ButHerEmails 🤦 #NoVoteisaTrumpVote
#VoteBlue2020 #DiversityIsTheKey 
AND #GMen4Life ❤ my Giants and Cuse baby 😉✌❤"
"x234213114","x1379628784433967104",2021-04-07 02:55:09,"LRH213","God’ll work it out. He’s just not in the same hurry you are.","Christian, army wife, political independent, former DoD contractor/ I ❤️ God, Titans, Nashville, grammar, foreign policy #TitanUp⚔️ #WarEagle🦅 & #nevertrump🤥"
"x4871961853","x1415008204610756610",2021-07-13 18:00:20,"Mrsmmtbeauty","@GOPChairwoman Chairwoman, 

I’ve got some ideas on how to improve the Republican Party &amp; ensure that we have a decisive victory in 2022. 

Should you be open to a conversation, I’m willing to help.

The door is open.","Former CA girl. Independent conservative. Proud Black American! I left the Republican party. #America1st  #2A. #BackTheBlue Good Cops!👮🏾‍♂️👮🏾‍♀️ God."
"x864836092356382720","x1388852472106651658",2021-05-02 13:46:47,"JamieJiggiepoo","@catturd2 Any GOP Governor with a Republican legislative majority who does not copy DeSantis should be primaried. Big Ron is showing you how it's done... just do it.","Independent Thinker ~ Patriotic to my bones. Eyes wide open and I continue to ponder, when the hell I closed them! No Lists"
"x2960064168","x1409010563124842499",2021-06-27 04:47:51,"JMasoots","@B52Malmet @donwinslow That’s the price of deciding to get your immunity “the natural way.”","Independent. Microeconomics addict. Evolutionary biology aficionado."
"x1033011642","x1411370724657405952",2021-07-03 17:06:17,"GodlessEngineer","@iamungit @TFADpod @SimonC43174444 @almightygod Ok. To me that means it's a bogus measure of accuracy.

Most of the universities that employee experts in relevant fields are religious universities that require statements of faith.","I'm a godless, independently-thinking Southerner living in North Alabama just trying to survive. he/him

Husband to @ge_kaitlyn"
"x1115860021051568130","x1413120046960885767",2021-07-08 12:57:28,"rick_hennig","Grifters, anti-vax/anti-mask covidiots, white supremacists, those who romanticize the Confederacy, the uneducated, and those who have been previously beguiled by TV hair preachers are those who gravitate to Trumpism. It has absolutely nothing to do with ""policy."" #TrumpCult","American Patriot🇺🇸. Minnesotan. CIVIC Nationalist. Independent Centrist. Professional Wrestling fan. Gamer. #BlackLivesMatter
#GetVaccinated"
"x4615594696","x1413836374067884044",2021-07-10 12:23:54,"buddhasgift1","@AmoneyResists @staceyabrams @GOP There are definitely investments going into this grassroots infrastructure in key states. The problem is that it was 10 years in the making in GA.

But yes. In.","Radical moderate. Independent. Voting blue till this GOP is out of power. Musician & lover of all animals & plants. #GeeksResist"
"x1044024025582903298","x1366607774835212297",2021-03-02 04:34:18,"Missy51903771","@BigmamaDolcea @MysterySolvent Unsafe for kids under 200 years old.","registered as independent"
"x824732418124947457","x1416394675708104709",2021-07-17 13:49:40,"WBooneHedgepeth","Amazon's new Vella Library for easy reading on your phone and iPad, computer, etc. Stories are sold by episode using tokens. Amazon is giving FREE TOKENS right now, so click on the link to get yours. First 3 Episodes of Vella stories are free too. .https://t.co/oWf5dYJGWJ https://t.co/20cjaBn8U1","#Author of Wild Willful Heart 
ISTJ
Registered Independent
Bone Southern
Visionary thought from visions
Christ IS the Source
Visceral account
America First"
"x42751662","x1326554409816346625",2020-11-11 15:56:32,"JaredRichNYC","@SalAlbaneseNYC Chances are the story will end with the homeowner paying the squatter to leave.","Dad. 2019-ran for NYC Public Advocate. Next time,? Independent Attorney, Fettered Capitalist, Pragmatic, Brooklyn born & raised. Let's go Nets!"
"x2713461986","x1330506207757471748",2020-11-22 13:39:34,"pattikay5","Emily Murphy must be the example for all to follow. Start the transition for the future of the country you currently love only if under GOP leadership. 
#GSAEmilyDoYourJob https://t.co/4X3U0EY1Ox","Opinionated. Independent of party affiliation."
"x2407903117","x1404209035184951303",2021-06-13 22:48:17,"BunyBro","-More fun, less expensive ✅
-1/2 White Claws ✅
- Youth league celebration ✅
- 🕺💃 dance ✅
- Off to the races ✅
- Sunburners concert ✅
- Chillin w pops ✅

Yeah, it’s gonna be a good week

#YallorNothing
#GoYalls https://t.co/0QwNHIRJcm","Independent 🇺🇲🦅

Cincinnati Reds⚾
Cincinnati Bengals🏈
Florence Y'alls⚾
Father of a 🐕 and a 🐈"
"x279105896","x1381375506948448270",2021-04-11 22:36:00,"ResearcherBy","I find that not to be a parallel analogy. Also find that my attempts to explain why it is not are unconvincing.  🙄@nancy_paul1 @KeithSGwd @MNF_Miracle    @Jose43435584 @JosephXander23 @Jose43435584 @kksheld @richardursomd @RuffusMD @TheRoctor_MD @chbstone2 @TheRoctor_MD https://t.co/ZWEm0iI2Hz","Independent Researcher 
Former University Professor"
"x2711718543","x1415767976452640769",2021-07-15 20:19:23,"PatiKRoll11","When an attempted coup d'é·tat goes unpunished, it becomes a training exercise. Seditious Republicans and their impotent, wannabe–fascist leader Donald Trump 𝐦𝐮𝐬𝐭 be held accountable. https://t.co/jL4MJKlip9","🆘. Personal Trainer, Independent Sales Rep, Progressive, PROUD RESISTER, #resist, #TheResistance, #ResistTrump, NO DMs!! #Biden2020"
"x33337890","x1386342324305858561",2021-04-25 15:32:21,"SHELLNM","@hollyrpeete @MagicJohnson @RodneyPeete9 @Dodgers This picture is Epic!!!","Management & Promotion for
“Lil Karty” 
“Detroit Independent Artist”
#linkinbio 
Send All Inquires to lilkartynation@gmail.com
“Merchandise Coming Soon”"
"x249429546","x1339019862799233024",2020-12-16 01:29:47,"ShelbyBWI7","@RepMattGaetz Stfu @RepMattGaetz   U r a f’g moron! We were over u years ago already!","WI independent. 2 years in recovery. Elderly & special needs adult caregiver. Proud Mom of 2 amazing adult human beings 👩‍👧‍👦 & 1 spoiled rotten Shih Tzu 🐶"
"x1609318045","x1396958738427219971",2021-05-24 22:38:12,"CannaPornia","It's LACK of law enforcement being Allowed to DO what their Paid to Do! Stop these BS stand down orders! #NoConsequences https://t.co/Vs3SsLpQg4","Mofo's CannaPornia Show, Cannabis & Porn from California! UnCensored, Funny, Independent of da Mob Talk! YouTube CannaPornia  https://t.co/PAXzdVtBwn…"
"x415106748","x1325193347862994944",2020-11-07 21:48:09,"Paul_me_May_be","@GavinC25 This also just proves how the media has you brainwashed buddy. It is still considered a “projection” he’s not actually elected. There are plenty of states that WILL have to recount ballots. Biden couldn’t fill a Walmart parking lot for a rally. Ain’t no way he has 70 million vote","|✝️Christ Follower✝️| Enagic® Independent Distributor 💧| CHANGE YOUR WATER CHANGE YOUR LIFE ®💧| Ditch your 9-5 Pick up Kangen® 9.5 |"
"x826554136191705088","x1393221590536663040",2021-05-14 15:08:06,"lcmccarron","Some news is good, some bad, some mixed.

The national COVID-19 test positivity rate in the U.S. is 3.5%. It was 15% in January. 

This is an all time low for the pandemic.

This news is nothing but good.","Working for justice and equality. Independent thinker and eternal learner."
"x79919001","x1410347332244180993",2021-06-30 21:19:41,"mileskimball","“The me­dia..seem afraid to tell the sto­ries of vic­tims of crime—their lives, what hap­pened, the phys­i­cal &amp; emo­tional im­pact on them &amp; their fam­i­lies..long-term ef­fects such as de­bil­itat­ing anx­i­ety, or fear of be­ing on the sub­way …” https://t.co/rLMDT26sSs","Eaton Professor of Economics at the University of Colorado, Bloomberg columnist, and independent blogger on economics, politics, religion & fighting obesity"
"x1237525512647516161","x1321552287303696386",2020-10-28 20:39:53,"SimplyMarie2020","@KyleKashuv I can’t. It’s too vulgar.","Wife, mother, grandmother, Marine brat, Catholic, Independent. God, family and country. American 🇺🇸🍀😷"
"x276598810","x1409913348725129227",2021-06-29 16:35:11,"wehcfkane","@JonSavage1966 Love the record. Always hated the cover though.","Water Operator, Anti-Trump independent, MUFC fan, record collector."
"x1095329479029936128","x1373299590250688512",2021-03-20 15:45:11,"SilviaGrace19","This is an absurd policy that will block law abiding people—particularly people of color—from pursuing careers in public service. 

We should be decriminalizing marijuana, not punishing highly-qualified staff for smoking pot in college. https://t.co/6zidoS3kvx","Proud Warrior and Weirdo (Aurora fan) Humanist Progressive Independent . Loves Movies, Music, Reading, Writing, animals,Video Games and politics."
"x48814364","x1387106303147905025",2021-04-27 18:08:08,"shalizar","In last 3 days, FOX has pushed lies, lies, lies that:

⁦@POTUS⁩ coming for your burgers, limiting Americans to 4 lbs a yr.

@VP⁩’s kids’ book being given to migrant children at border.

@Bakari_Sellers,⁩ a southerner, is faking a southern accent. https://t.co/o4eVb42dwG","Agricultural Engineer, Master degree in Agricultural soil. independent, advocates for social justice and equal opportunity for all."
"x967117101419909120","x1414068077180846083",2021-07-11 03:44:36,"no_1_you_kno","@KC_Honey_ 3 dabs in watching Loki.. https://t.co/RYrwM8mHIx","#SpiraloutPsychonaut #Chiefskingdom #Royals #Mizzou #Greenearth #Humanrights #Bantrophyhunting #Independent #Sciencematters #Legalize #Climatechange"
"x51867210","x1399029753831739396",2021-05-30 15:47:40,"Tmite_KC","At least 22 people shot, 2 fatally, after assailants get out of an SUV and fire assault rifles at a club, police say
https://t.co/hBZtY42Vix","🇧🇯 🇹🇬 🇨🇲 🇬🇧 🇺🇸 Politically Independent (Progressive) Full Obama Supporter and ain't afraid to say it! Snap: tmitebetheone IG: kcmo2atl"
"x1001119242023002112","x1384507485889994753",2021-04-20 14:01:22,"wfyoungblood","Because the system works for the old, white, male justice. It’s easy to say “respect the judiciary” when it protects you. He is deaf to the whole system being the problem. It doesn’t work for PoCs. That’s why they continue to protest. #SystemicRacism https://t.co/ZAbSxhr4um","Writing my first completed fantasy novel. I live in AR with my wife Candice and our dogs. I am middle-left independent. No tolerance for bigotry or fascism."
"x19717024","x1233506909669511170",2020-02-28 21:38:59,"jubrugma","These teens on TikTok are out here doing the lord’s work. https://t.co/KzGKGqR0w2","Pokémon Go Tiktoker. Optician. Independent Scentsy Consultant."
"x16186313","x1403367703306506240",2021-06-11 15:05:08,"CSSNYorg","Our free eNewsletter will be going out later this month.  Make sure you've signed up to receive the latest updates in public benefits &amp; housing news!   

Create a free account at https://t.co/bkuliaVF8l 

Read @BPLCNYC's eNewsletters at https://t.co/5ipyljQbW4

#socialworkWORKS https://t.co/hii0K3jpN4","We’re an informed, independent, and unwavering voice for positive action on behalf of low-income New Yorkers."
"x30023164","x1415146793008992256",2021-07-14 03:11:02,"TedyhereMC","Man fuck off.. most people.dont know what the fuck you even talking about.. they feel a driving beat and go with it. https://t.co/FNxh7db3WZ","Liberty minded Constitutional Independent voter."
"x2998658360","x1413199074459746304",2021-07-08 18:11:29,"RuelGolden","@SenTedCruz I think it's time that the GOP condemns White Supremacy. The Proud Boys, Oath Keepers, Neo Nazis and KKK loved Trump. Some were part of Insurrection. The fact that Trump gave all the hate groups a platform is horrible. But let's not follow lousy character it reflects poorly.","Not a Democrat or Republican! I prefer to weigh both sides with out prejudice if possible! I was a Republican then Independent now disgusted!! CHARACTER COUNTS"
"x135414635","x1364502921174376448",2021-02-24 09:10:22,"anildharker","“PM Modi hints at election dates for four states by March 7.” 
How does he know? Has Election Commission merged with his BJP, as was predicted? 
https://t.co/tVKJOt4HxK https://t.co/uZgJN5VOwW","Founder Mumbai Int Literary Festival.Editor Illustrated Weekly, Independent, Mid-day. Head of FFC/NFDC& https://t.co/YTdAk2SMIA"
"x4391005874","x1408273433167896578",2021-06-25 03:58:45,"tlyles77txgal","Outrageous and politically corrupt. @RudyGiuliani’s suspension nothing short of a personal persecution designed to send a message. Don’t go near Donald Trump or we will destroy you. https://t.co/cD219YTcM1","Constitutionalist/Independent Voter. Follow Me on GETTR @tlyles77txgal & on Parler @tlyles77txgal"
"x787834806558011392","x1407955435609636865",2021-06-24 06:55:09,"wilting_db_rose","@EndGameWW3 A bridge in D.C now a building in Florida! Wow!","Political..right-leaning Independent. I vote. 1Amendment/2 Amendment are my priorities."
"x2437046546","x1410272845142409221",2021-06-30 16:23:42,"oilcitywyo","“The first five federal holidays ... attempted to restore common ground between North and South,” Chernow says. “Both sides in the Civil War claimed to have fought in the spirit of the American Revolution. It was therefore easy for both sides to honor Was https://t.co/jGKFZkCoWA","Oil City is Central Wyoming's only independent news platform, specializing in hyperlocal coverage of the people, places and events that shape our community."
"x404245772","x1413237070739382274",2021-07-08 20:42:28,"exp802","@Zoomer_Doomer_ Yes. https://t.co/CPys1ZHZ3S","Biologist // Progressive Independent // Organizing with @CA_WFP // 🏳️‍🌈"
"x49496868","x1379537429783310342",2021-04-06 20:52:08,"beccab78","We had a President of the United States who conned a man dying of cancer out of his last $3,000. Of all his disgusting criminal activity, this may the lowest. Although tomorrow I’m sure we’ll hear of something worse.","Feminist, Humanist, Mother, Egalitarian, Independent, General malcontent
she/her"
"x945849799466737665","x1354447096427016195",2021-01-27 15:12:06,"marcus3426","We must unite to protect our Constitution &amp; stand up to the likes of Brennan, Schiff &amp; Big Tech who are trying to take away our civil liberties &amp; undermine our Constitution. If our leaders fail to denounce &amp; stop them now, then the country we love &amp; cherish will no longer exist. https://t.co/hEMm5Ej3ia","Investor in real estate Independent thinker"
"x214706093","x1404390752160030722",2021-06-14 10:50:22,"jbreweratl","For each new morning let there be flow of love. Let there be light of happiness in every direction.
- Amit Ray https://t.co/mAFHOKa4GN","Managing Partner at Malibu Native Partners, LLC; Passionate dressage rider; Independent marketing professional."
